"CORRECTNESS						",,,,,,,Predicted Class,,
"Hidden	FastInf-EVEN	FastInf-BEST	FastInf-WORST	PGPI+	NB	",,,,,,Actual Class,,YES,NO
"10%	96.2	99.7	95.1	91.7	94.5	",,,,,,,YES,,
"25%	88.9	96	81.2	90.9	87.8	",,,,,,,NO,,
"50%	71.4	86.2	60.5	77.8	71.4	",,,,,,,,,
"						",,,,,,,,,
"WRONG RELATIONSHIP ERROR						",,,,,,,,,
"Hidden	FastInf-EVEN	FastInf-BEST	FastInf-WORST	PGPI+	NB	",,,,,,,,,
"10%	61.2	58	67	122	145	",,,,,,,,,
"25%	65.5	61	70	115	251	",,,,,,,,,
"50%	70.2	61	78	107	312	",,,,,,,,,
"						",,,,,,,,,
"CLOSE CUT ERROR						",,,,,,,,,
"Hidden	FastInf-EVEN	FastInf-BEST	FastInf-WORST	PGPI+	NB	",,,,,,,,,
"10%	12.6	6	15	61	44	",,,,,,,,,
"25%	13.2	8	21	59	57	",,,,,,,,,
"50%	11.8	5	20	55	66	",,,,,,,,,
"						",,,,,,,,,
"FAR CUT ERROR						",,,,,,,,,
"Hidden	FastInf-EVEN	FastInf-BEST	FastInf-WORST	PGPI+	NB	",,,,,,,,,
"10%	21.5	18	24	31	76	",,,,,,,,,
"25%	23.7	18	28	28	99	",,,,,,,,,
"50%	27.1	22	30	27	147	",,,,,,,,,
"						",,,,,,,,,
"Beijing						",,,,,,,,,
"Algorithm	FastInf-EVEN	FastInf-BEST	FastInf-WORST	PGPI+	NB	Greedy",,,,,,,,,
"BA	3.71	4.49	3.17	4.07	3.89	2.15",,,,,,,,,
"SW	4.12	4.67	3.87	4.2	4.01	2.17",,,,,,,,,
"ER	4.56	4.98	4.23	4.71	4.47	2.67",,,,,,,,,
"d-Regular	3.06	2.75	3.49	3.97	3.81	1.89",,,,,,,,,
"						",,,,,,,,,
"Chengdu						",,,,,,,,,
"Algorithm	FastInf-EVEN	FastInf-BEST	FastInf-WORST	PGPI+	NB	Greedy",,,,,,,,,
"BA	3.78	4.52	3.34	4.12	4.01	2.17",,,,,,,,,
"SW	4.17	4.72	3.88	4.23	4.01	2.21",,,,,,,,,
"ER	4.65	4.99	4.31	4.72	4.54	2.76",,,,,,,,,
"d-Regular	3.11	2.87	3.46	4.02	3.94	1.91",,,,,,,,,
"						",,,,,,,,,
"Manhattan						",,,,,,,,,
"Algorithm	FastInf-EVEN	FastInf-BEST	FastInf-WORST	PGPI+	NB	Greedy",,,,,,,,,
"BA	3.34	4.31	3.01	3.96	3.91	2.07",,,,,,,,,
"SW	4.11	4.68	3.92	4.23	3.97	2.15",,,,,,,,,
"ER	4.43	4.89	4.33	4.65	4.59	2.61",,,,,,,,,
"d-Regular	3.01	2.89	3.21	4.13	3.96	1.81",,,,,,,,,
"						",,,,,,,,,
"New York						",,,,,,,,,
"Algorithm	FastInf-EVEN	FastInf-BEST	FastInf-WORST	PGPI+	NB	Greedy",,,,,,,,,
"BA	3.69	4.48	3.22	4.05	3.91	2.16",,,,,,,,,
"SW	3.99	4.65	3.83	4.21	4.02	2.19",,,,,,,,,
"ER	4.61	4.91	4.52	4.74	4.38	2.69",,,,,,,,,
"d-Regular	3.01	2.78	3.51	4.01	3.82	1.63",,,,,,,,,
